lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.025,2025-02-11 06:07:13.834183,,,,,,,,,,,,,,
,2025-02-11 06:07:14.941214,0.0407082661986351,0.0001391945843352005,0.0407082661986351,1999.0,19.0,,,,,,,,,
,2025-02-11 06:07:15.658396,,,,,19.0,0.04578879103064537,0.00016529321146663278,0.04578879103064537,0.03764374181628227,0.00012961371976416558,0.03764374181628227,,,
,2025-02-11 06:07:15.672191,,,,,19.0,,,,,,,0.1481139212846756,0.0017396887997165322,0.1481139212846756
0.025,2025-02-11 06:08:09.853354,,,,,,,,,,,,,,
,2025-02-11 06:08:10.138794,0.20529332756996155,0.0019282825523987412,0.20529332756996155,2049.0,20.0,,,,,,,,,
0.025,2025-02-11 06:08:24.247483,,,,,,,,,,,,,,
,2025-02-11 06:08:25.307906,0.3024720847606659,0.00639307452365756,0.3024720847606659,2099.0,20.0,,,,,,,,,
,2025-02-11 06:08:26.015721,,,,,20.0,0.16586731374263763,0.0009665521793067455,0.16586731374263763,0.11432259529829025,0.0005978459375910461,0.11432259529829025,,,
,2025-02-11 06:08:26.028952,,,,,20.0,,,,,,,0.14130090177059174,0.0016139793442562222,0.14130090177059174
