lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2025-02-11 06:07:07.563937,,,,,18.0,0.10018008202314377,0.0003930649545509368,0.10018008202314377,0.07592540234327316,0.00029470367007888854,0.07592540234327316,,,
,2025-02-11 06:07:07.577672,,,,,18.0,,,,,,,0.15222176909446716,0.004254581406712532,0.15222176909446716
0.025,2025-02-11 06:07:25.026950,,,,,,,,,,,,,,
,2025-02-11 06:07:25.485366,0.2018224000930786,0.0008842204115353525,0.2018224000930786,1949.0,19.0,,,,,,,,,
0.025,2025-02-11 06:07:42.798789,,,,,,,,,,,,,,
,2025-02-11 06:07:43.954741,0.058678071945905685,0.00019968827837146819,0.058678071945905685,1999.0,19.0,,,,,,,,,
,2025-02-11 06:07:44.644652,,,,,19.0,0.05617937073111534,0.00020340026821941137,0.05617937073111534,0.05174518749117851,0.00017764660879038274,0.05174518749117851,,,
,2025-02-11 06:07:44.658260,,,,,19.0,,,,,,,0.16352227330207825,0.0018235585885122418,0.16352227330207825
0.025,2025-02-11 06:08:48.836023,,,,,,,,,,,,,,
,2025-02-11 06:08:49.165320,0.21065087616443634,0.0019318306585773826,0.21065087616443634,2049.0,20.0,,,,,,,,,
0.025,2025-02-11 06:09:05.727481,,,,,,,,,,,,,,
,2025-02-11 06:09:06.951452,0.3373827636241913,0.007360341493040323,0.3373827636241913,2099.0,20.0,,,,,,,,,
,2025-02-11 06:09:07.636305,,,,,20.0,0.19419710338115692,0.0011069923639297485,0.19419710338115692,0.13475437462329865,0.0006792863132432103,0.13475437462329865,,,
,2025-02-11 06:09:07.658979,,,,,20.0,,,,,,,0.15645024180412292,0.0017029118025675416,0.15645024180412292
